repo_name,repo_owner,stars,forks,open_issues,description,creation_date,last_modification_date,primary_language,ml_libraries,has_tests,repo_size_kb,file_count,size_api_kb;
"Random-Erasing,zhunzhong07,722,156,11,""Random Erasing Data Augmentation. Experiments on CIFAR10, CIFAR100 and Fashion-MNIST"",2017-09-15 08:45:42+00:00,2024-12-10 02:48:54+00:00,Python,,False,,,16320";
GPy,SheffieldML,2030,561,248,Gaussian processes framework in python ,2012-11-28 17:02:54+00:00,2024-12-19 06:35:04+00:00,Python,,False,,,65638;
QUANTAXIS,yutiansut,8166,2957,230,QUANTAXIS 支持任务调度 分布式部署的 股票/期货/期权  数据/回测/模拟/交易/可视化/多账户 纯本地量化解决方案,2016-03-29 12:11:19+00:00,2024-12-19 08:06:56+00:00,Python,,False,,,135984;
Keras-frcnn,kbardool,394,314,90,Keras Implementation of Faster R-CNN,2017-10-31 20:11:10+00:00,2024-12-16 09:12:56+00:00,Python,,True,,,198;
descarteslabs-python,descarteslabs,157,36,3,Descartes Labs Python Client Library,2017-03-10 23:27:12+00:00,2024-12-16 23:49:16+00:00,Python,,False,,,6452;
raster-functions,Esri,195,81,23,A curated set of lightweight but powerful tools for on-the-fly image processing and raster analysis in ArcGIS.,2014-07-24 00:13:43+00:00,2024-12-13 18:55:06+00:00,Python,,False,,,3471;
se3cnn,mariogeiger,188,48,4,Euclidean Neural Networks,2018-01-08 17:05:40+00:00,2024-11-26 20:11:59+00:00,Python,,True,,,10283;
cnvkit,etal,547,165,324,Copy number variant detection from targeted DNA sequencing,2014-07-07 20:12:27+00:00,2024-12-13 22:57:30+00:00,Python,,True,,,113796;
text_renderer,Sanster,1390,384,60,Generate text images for training deep learning ocr model,2018-05-28 06:33:14+00:00,2024-12-19 21:50:21+00:00,Python,,False,,,13226;
magpie,inspirehep,684,192,49,Deep neural network framework for multi-label text classification,2015-11-27 10:16:06+00:00,2024-09-18 18:27:02+00:00,Python,,False,,,95373;
"snape,mbernico,165,21,3,""Snape is a convenient artificial dataset generator that wraps sklearn's make_classification and make_regression and then adds in 'realism' features such as complex formating, varying scales, categorical variables, and missing values."",2016-11-28 22:05:27+00:00,2024-11-13 13:59:33+00:00,Python,,False,,,191";
deepvoice3_pytorch,r9y9,1968,484,44,PyTorch implementation of convolutional neural networks-based text-to-speech synthesis models,2017-10-31 12:31:44+00:00,2024-12-17 22:51:21+00:00,Python,,True,,,7107;
